Référence ENI,Titre,Sous-titre,Mention de responsabilité,Edition,Date d'édition,Nom auteur1,Prénom auteur1,Nom auteur2,Prénom auteur2,Nom auteur3,Prénom auteur3,Nom auteur4,Prénom auteur4,Nom auteur 5,Prénom auteur 5,Nom auteur 6,Prénom auteur 6,Nº pages,Langue,Langue d'origine,Pays de publication,Forme de la ressource,Données codées,Préface,Résumé,Type de ressource,Type de ressource électronique,Note sur la configuration requise,ISBN (Version Imprimée),Version imprimée,ISBN (Version Num.),Version numérique,Ville,Editeur,Année d'édition,Type de document électronique,Collection,URL,Accès au travers du portail ENI,Mot clé 1,Mot clé 2,Mot clé 3,Mot clé 4,Mot clé 5,Mot clé 6,Mot clé 7,Mot clé 8,Mot clé 9,Mot clé 10,Mot clé 11,Mot clé 12,Mot clé 13,Mot clé 14,Mot clé 15,Mot clé 16,Mot clé 17,Mot clé 18,Mot clé 19,Mot clé 20,Mot clé 21,Mot clé 22,Mot clé 23,Mot clé 24,Mot clé 25,Mot clé 26,Mot clé 27,Mot clé 28,Mot clé 29,Mot clé 30,Mot clé 31,Mot clé 32,Mot clé 33,Mot clé 34
AT20AUT,AutoCAD 2020,"Conception, dessin 2D et 3D, présentation - Tous les outils et fonctionnalités avancées autour de projets professionnels","Olivier Le Frapper, Jean-Yves Gouez",,Édition du 11 décembre 2019,Le Frapper,Olivier,Gouez,Jean-Yves,,,,,,,,,550,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur AutoCAD 2020 a pour but de vous faire découvrir puis maîtriser un maximum de fonctionnalités 2D et 3D d'AutoCAD, des plus simples aux plus avancées. Il est destiné à des lecteurs possédant idéalement déjà de bonnes bases de dessin technique et présente les possibilités offertes par cette puissante application de CAO/DAO. La réalisation de projets professionnels incluant des procédures détaillées permet au lecteur de mettre en pratique au fil des chapitres les connaissances acquises facilement adaptables à son activité.
Les premiers chapitres s'intéressent plus particulièrement à l'interface, à l'environnement de travail, aux outils de visualisation, aux outils de sélection avancés, aux outils de dessin et de construction de dessins de tout type. Ils abordent également la conception paramétrique et la gestion des objets ainsi créés. Les chapitres suivants s'attardent sur tous les éléments qui peuvent compléter ou automatiser la conception et le dessin jusqu'à la présentation détaillée : saisies et recherches dynamiques, poignées dynamiques multifonctions, gestion avancée des calques, des blocs, blocs dynamiques et éléments de bibliothèque, gestion des tableaux, des champs, des références externes, calques sous-jacents DWF, DGN ou PDF, intégration d'images, gestion dynamique des systèmes de coordonnées, gestion et extraction des attributs, intégration de données cartographiques...
Les techniques de navigation 3D et modélisation 3D volumiques et surfaciques sont détaillées et illustrées d'exemples précis ; les styles visuels et paramètres associés présentent les nombreuses possibilités d'affichage (filaire, masqué, conceptuel, réaliste, etc.) ; l'importation et l'exportation de nombreux formats CAO (Catia, Step, Iges, ProE, SolidWorks, JT, NX, Parasolid, Rhino) sont présentées ; les fonctionnalités avancées de mise en plan automatique des modèles 3D, de création de coupes, sections et vues de détail sont également détaillées.
Enfin, vous sont présentées toutes les fonctionnalités permettant de gérer et présenter vos projets, de configurer l'impression, d'imprimer, d'exporter ou d'importer d'autres formats, de concevoir et exploiter les formats de consultation DWF 2D/3D, PDF, JPG, de convertir des données PDF, de publier sur le Web.
Les nombreux exercices permettent au lecteur d'utiliser les fonctionnalités de dessin et de construction et d'organiser les données de projets professionnels pertinents. Le lecteur peut ainsi créer un tableau de surfaces, créer et utiliser concrètement des éléments de bibliothèque et des blocs dynamiques et paramétriques. Il utilise les attributs, personnalise les palettes d'outils, exploite les références externes, géolocalise le projet, habille le projet avec les annotations, cotations, repères et hachures adéquats. Enfin, il modélise en 3D et prépare l'impression pour présenter le projet 2D et 3D. Les éléments nécessaires à la réalisation des exercices sont en téléchargement sur le site www.editions-eni.fr.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02203-6,Version imprimée,978-2-409-02204-3,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,Atrium,%SITE_CLIENT%/?library_guid=4b4f70a3-d1ab-4939-acbf-9e2822968dc3,Accès au travers du portail ENI,auto cad,CAO ,DAO,AutoDesk,Dessin,3D,2D,DWF,DGN,Catia,Step,Iges,ProE,SolidWorks,JT,NX,parasolid ,Rhino,LNAT20AUT,,,,,,,,,,,,,,,
EPKUBCLU,Kubernetes,Mise en oeuvre d'un cluster et déploiement de microservices,"Jean-Philippe Gouigoux, Kévin Lenglet",,Édition du 11 décembre 2019,Gouigoux,Jean-Philippe,Kévin,Lenglet,,,,,,,,,369,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur Kubernetes s'adresse aussi bien aux développeurs qu'aux administrateurs système qui souhaitent comprendre le fonctionnement de la plateforme Kubernetes pour être en mesure de déployer des applications informatiques sur une architecture distribuée. Une expérience d'utilisation courante de Docker est souhaitée pour profiter au mieux des fonctionnalités de cet outil qui, couplées à celles de Kubernetes, sont présentées dans certains exemples.
Une fois le fonctionnement de base et le principe d'architectures de Kubernetes étudiés, le livre expose en détail, au-delà des enjeux du paramétrage, deux méthodes pour installer la plateforme et créer un cluster Kubernetes : Kubeadm et Kubespray. La question de la sécurité ainsi que les opérations de maintien en condition opérationnelle d'un cluster sont ensuite traitées. 
La suite du livre est dédiée à l'utilisation d'un cluster pour le déploiement applicatif et montre, en se basant sur un exemple d'application en microservices, comment déployer des services logiciels sur le cluster, que ce soit en ligne de commande ou à l'aide d'un fichier de configuration. Avec une approche toujours très pragmatique, la supervision du cluster, la mise à jour progressive d'une application ou encore l'équilibrage de charge sont étudiés. Cette partie du livre est également l'occasion pour le lecteur de découvrir l'utilisation de services Kubernetes dans le cloud.
Teinté de tous les retours d'expériences industrielles et des bonnes pratiques des auteurs, ce livre permet au lecteur d'obtenir une vision professionnelle de la mise en œuvre d'un cluster et de devenir ainsi rapidement efficace dans l'utilisation de Kubernetes en production.
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr. ",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02222-7,Version imprimée,978-2-409-02223-4,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=a1291981-6b20-4237-8858-e811abbd61e1,Accès au travers du portail ENI,Kubernetes,container,conteneur,microservices,Kubeadm,Kubespray,DevOps,LNEPKUBCLU,Kubeadm,Kubespray,devops,,,,,,,,,,,,,,,,,,,,,,,
EP2BLOC,Les Blockchains,"De la théorie à la pratique, de l'idée à l'implémentation","Billal Chouli, Frédéric Goujon, Yves-Michel Leporcher",2e édition,Édition du 11 décembre 2019,Billal,Chouli,Goujon,Frédéric,Leporcher,Yves-Michel,,,,,,,469,fre,fre,FR,s,drcn#nnnmnnbn,Préface de Odile PANCIATICI - Vice-Présidente Blockchain du groupe Renault,"Ce livre offre une vision à 360 degrés de l'état de l'art de la technologie Blockchain, son environnement et son potentiel, à un public désireux d'en faire sa spécialité en lui fournissant les clés pour se l'approprier. Bien plus qu'une cryptomonnaie, la Blockchain est une pépite de technologie, à la croisée des concepts cryptographiques bien implémentés et d'une architecture décentralisée opérationnelle en environnement de production. 
Dans un premier temps, les auteurs présentent les promesses de la technologie pour permettre au lecteur de faire le tri sur l'information et la désinformation disponibles sur le web. Il découvre ainsi les réels intérêts de la technologie au-delà de la cryptomonnaie. Puis un chapitre présente la Blockchain grâce à une définition de la technologie, de ses composants et mécanismes à l'oeuvre, permettant de mieux la comprendre et de s'en approprier les piliers. 
Un chapitre, davantage dédié aux profils de chefs de projet, détaille ensuite la Blockchain selon un axe métier. Le lecteur est accompagné pour comprendre le processus de définition du cas d'usage, choisir la technologie adaptée, évaluer les coûts. Le contexte légal est présenté ainsi que différents cas d'usage permettant de donner une culture générale sur les différentes technologies, leur exploitation et leur intégration aux écosystèmes existants. 
Dans un autre chapitre, davantage orienté sur l'axe technique, les concepts sous-jacents à la Blockchain sont présentés avec plus de profondeur. Les architectes solutions et techniques y trouveront des éléments d'architecture leur permettant de se projeter dans la mise en oeuvre de cette technologie et les développeurs verront comment déployer les principales technologies grâce à des exemples détaillés pas à pas. 
Dans la suite du livre, les auteurs détaillent plus finement la théorie cryptographique et son application dans le domaine de la Blockchain, en l'illustrant par de nombreux exemples qui en facilitent la compréhension. Pour finir, le dernier chapitre identifie les contraintes et les conditions de succès, tant pour la technologie que pour son application et sa survie dans le futur. S'émancipant de toute démarche prospective, il évoque les défis à relever pour assurer le succès des clients et des fournisseurs de solutions à base de Blockchain. 
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02205-0,Version imprimée,978-2-409-02206-7,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=af8aedc2-ac4a-445e-a031-cfd02934fd51,Accès au travers du portail ENI,bitcoin,transaction,Ethereum,HyperlEdger,cryptographie,LNEP2BLOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPTENS,TensorFlow et Keras,L'intelligence artificielle appliquée à la robotique humanoïde,Henri Laude,,Édition du 11 décembre 2019,Laude,Henri,,,,,,,,,,,364,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur TensorFlow et sur son API intégrée Keras contient toutes les informations nécessaires pour assister le lecteur dans la mise au point, pas à pas, d'une intelligence artificielle reposant sur les pratiques courantes du deep learning et du machine learning. Autour de l'usage de notions associées aux tenseurs et à la différentiation qui représentent les deux points forts du framework, l'auteur présente dans ce livre un projet d'intelligence artificielle incarnée : celui d'un robot humanoïde.
Ainsi, en plus des notions de base de la robotique, les principaux savoir-faire permettant de coder la partie algorithmique de la création de cette IA incarnée sont traités. Principalement construit à partir d'algorithmes liés à la cognition et à la prise de décision se mettant naturellement en œuvre via Keras, ce parcours didactique permet donc au lecteur d'étudier : 
- la gestion de cinématique et la planification de trajectoire ;
- le contrôle-commande et l'asservissement ;
- la reconnaissance visuelle d'objets ;
- le traitement du son ;
- le langage naturel ;
- la génération de séquences ou d'images
- et, de façon plus générale, l'automatisation des calculs d'ingénierie relatifs aux grandes matrices, aux très grands tenseurs multidimensionnels et à la différentiation de fonctions très élaborées. 
L'auteur propose également dans ce livre une initiation aux outils mathématiques de référence de la discipline, dans l'optique d'accéder à un premier niveau de compréhension des articles de recherche. Sans concession simpliste en termes de formulation des expressions mathématiques, elle ne s'attarde sur aucun fondement théorique et fait l'impasse sur les difficultés conceptuelles qui pourraient troubler le lecteur n'ayant aucune pratique des mathématiques du supérieur. 
A la fin du livre, le lecteur peut trouver un chapitre consacré à l'exploitation et la mise en ligne de solutions d'intelligence artificielle, ainsi que des annexes, qui font partie intégrante de l'ouvrage et qui détaillent de nombreuses manipulations de tenseurs facilitées par l'usage de TensorFlow. Chaque chapitre du livre comprend également une bibliographie soignée en rapport direct avec les propos de l'auteur ou des liens vers du code tiers répertorié sur son espace GitHub. 
Des extraits choisis du code de l'ouvrage sont disponibles en téléchargement sur le site www.editions-eni.fr.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02199-2,Version imprimée,978-2-409-02200-5,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=bb84f410-ee80-44eb-976d-896d9afb2e01,Accès au travers du portail ENI,TensorFlow,machine learning,Keras,deep learning,robotique,IA,intelligence artificelle,framework,js,Javascript,LNEPTENS,,,,,,,,,,,,,,,,,,,,,,,
EIAWS,AWS,Gérez votre infrastructure sur la plateforme cloud d'Amazon,Nicolas Duminil,,Édition du 11 décembre 2019,Duminil,Nicolas,,,,,,,,,,,280,fre,fre,FR,s,drcn#nnnmnnbn,,"Cet ouvrage propose un voyage au coeur de la plateforme cloud Amazon Web Services et de ses services lors duquel le lecteur trouvera toutes les informations nécessaires sur la conception, le développement et l'administration d'une infrastructure AWS. Il s'adresse à toute personne qui souhaite explorer les subtilités du cloud computing et des principaux services d'AWS pour faire tourner ses applications.
Après une introduction au Cloud Computing et à la plateforme AWS permettant de bien démarrer, le lecteur est rapidement invité à découvrir comment créer, explorer et supprimer une infrastructure. Puis, l'auteur étudie la question de la sécurité et de la gestion de l'accès à une infrastructure grâce à la console IAM ou via AWS CLI et Terraform. 
Dans la suite des chapitres, la mise en oeuvre des principaux services d'AWS est détaillée. Illustrés par la pratique grâce à de nombreux exemples concrets d'utilisation, le lecteur peut ainsi trouver un maximum d'informations sur les services :
- EC2 pour la gestion des images, des instances et des réseaux ;
- S3 ou Elastic Block Store (EBS) pour le stockage ;
- CloudWatch pour la surveillance d'une infrastructure AWS ; 
- VPC pour l'utilisation de Cloud privé virtuel ;
- RDS pour la gestion des bases de données ;
- et Route53 pour la gestion des noms de domaines.
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr ou sur l'espace GitHub des éditions ENI.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02218-0,Version imprimée,978-2-409-02219-7,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,Expert IT,%SITE_CLIENT%/?library_guid=a77988f7-69da-4b19-86a7-6f6aa0bd86e2,Accès au travers du portail ENI,Cloud Computing,AWS CLI ,IAM,Terraform,Amazon S3,Amazon Web Services,CloudWatch,EC2,S3,EBS,CloudWatch ,VPC,RDS,Route53,LNEIAWS,,,,,,,,,,,,,,,,,,,
LF4RASP,Raspberry Pi 4,Exploitez tout le potentiel de votre nano-ordinateur (inclus un projet de station météo),François Mocq,,Édition du 11 décembre 2019,Mocq,François,,,,,,,,,,,407,fre,fre,FR,s,drcn#nnnmnnbn,,"L'objectif de ce livre est de fournir au lecteur débutant des bases solides pour explorer les ressources offertes par le Raspberry Pi tant du point de vue du système d'exploitation que du développement en Python. Les modèles Raspberry Pi 4, Raspberry Pi 3 B+ et Raspberry Pi 3A+ sont traités dans cet ouvrage. Aucun prérequis en Linux ou en électronique n'est nécessaire. Les programmes développés étant largement commentés, une première approche du langage Python est souhaitable, mais pas indispensable. 
Après une présentation physique des différents modèles de Raspberry Pi, vous serez guidé pour installer rapidement le système d'exploitation de votre choix sur une carte micro SD et rendre votre Raspberry Pi opérationnel. L'utilisation de NOOBS est expliquée en détail. La présentation du nouveau bureau graphique de Raspbian Buster est suivie de l'utilisation de Linux en ligne de commande. Les principales commandes nécessaires à l'exploitation d'un Raspberry Pi sous GNU/Linux sont abordées. La description du GPIO précède une présentation technique des composants utilisés dans le livre (carte Breadboard, résistance, bouton poussoir, LED, LED RGB, LED adressable, servomoteur, codeur rotatif, carte d'acquisition analogique). Chaque composant est ensuite mis en œuvre à l'aide de scripts Python et de la bibliothèque gpiozero. 
Des projets concrets à réaliser permettent au lecteur d'utiliser ce matériel en suivant un cahier des charges. La construction d'une station météo est l'occasion d'utiliser un anémomètre, une girouette, un pluviomètre ainsi que différents capteurs (température, humidité, pression). La transmission des données via Sigfox ou LoRa sera évoquée ainsi que le partage de ces données dans un réseau météorologique. Les mesures relevées par la station météo sont, dans un premier temps, affichées en mode texte puis envoyées à une base de données InfluxDB avant d'être affichées sous forme de courbes dans le programme Chronograf. ",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02208-1,Version imprimée,978-2-409-02209-8,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,La Fabrique,%SITE_CLIENT%/?library_guid=4b814265-72b3-4e0a-87b1-967701f58a4b,Accès au travers du portail ENI,raspberrypi,arduino,scratch,python,noobs,libreelec,libre elec,lighttpd,vlc ,linux,gpio,raspi,raspian,raspberry,raspberry pi ,Raspberry Pi Zero,raspberry pi 3,LNLF4RASP,,,,,,,,,,,,,,,,
RI3RED,Red Hat Enterprise Linux ,CentOS - Mise en production et administration de serveurs,Thibault Bartolone,3e édition,Édition du 11 décembre 2019,Bartolone,Thibault,,,,,,,,,,,917,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur Red Hat Enterprise Linux et CentOS (versions 7 et 8) s'adresse à tout informaticien appelé à déployer un serveur Linux performant en entreprise et à en assurer l'administration. émaillé d'explications pédagogiques, d'exemples et d'astuces, ce livre va à l'essentiel, fournit des méthodes techniques et logistiques, présente les bonnes pratiques et n'oublie pas la sécurité.
Le lecteur pourra ainsi :
- comprendre la philosophie d'exploitation proposée par Red Hat,
- procéder à une installation efficace du système d'exploitation par DVD, VNC, PXE et Kickstart,
- effectuer une configuration réseau adaptée à l'entreprise (Network Manager, Interface Teaming, VLANs, Tunneling SSH),
- découvrir et mettre en oeuvre la sécurité avec SELinux, l'Authentication Multi-Facteur (MFA), le pare-feu firewalld et des recommandations
- exploiter l'immense bibliothèque de logiciels disponibles, avec YUM, DNF et les Applications Streams
- configurer les supports de stockage, mettre en place la fiabilité avec GPT, LVM, Stratis
- automatiser des tâches, analyser, maintenir et dépanner le système,
- gérer les comptes et les permissions des utilisateurs de manière pratique
- mettre en oeuvre des scripts Bash,
- mettre en place des services courants en entreprise (Apache, NGINX, DNS, DHCP, etc.)
- exploiter les dernières tendances, comme la virtualisation avec KVM et la conteneurisation avec Docker et les conteneurs natifs
L'auteur s'est attaché à écrire un livre efficace, sur des situations réalistes et concrètes rencontrées en entreprise, pour permettre au lecteur de devenir un administrateur compétent et autonome.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02195-4,Version imprimée,978-2-409-02196-1,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=4854593d-e685-4e95-92d2-27b256a30b75,Accès au travers du portail ENI,rhel,open source,SSH,Interface Bonding,VLAN,Pare-feu,pare feu,RAID,LVM,script,Bash,http,DNS,DHCP,FTP,systemd,journald,firewalld,Network Manager,Docker,KVM,LNRI3RED,,,,,,,,,,,,
RI19WINIST,Windows Server 2019,Windows Server 2019,Nicolas Bonnet,,Édition du 11 décembre 2019,Bonnet ,Nicolas,,,,,,,,,,,433,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur Windows Server 2019 s'adresse à un public d'administrateurs ou techniciens système qui souhaitent acquérir des compétences sur les fonctionnalités offertes par Windows Server 2019.
Dans le premier chapitre, l'auteur détaille l'implémentation d'Hyper-V. Prérequis, machine virtuelle, mémoire dynamique, types de disques ainsi que gestion d'un réseau virtuel sont détaillés. Le nouveau format de fichier ainsi que la mise à niveau de la version d'une machine virtuelle sont également présentés.
L'auteur présente ensuite la version Core ainsi que les différents outils pour procéder à la migration vers Windows Server 2019.
La gestion du stockage débute par la configuration du stockage local avec la gestion des disques et la gestion des volumes. L'auteur guide ensuite le lecteur dans l'opération de réduction d'une partition. Cette opération est effectuée en ligne de commande ainsi qu'avec l'interface graphique. La déduplication ainsi que la gestion de l'espace de stockage sont également détaillées.
Le lecteur pourra également se familiariser avec les technologies NAS, DAS et SAN et avec la mise en place d'un partage SMB et NFS. L'auteur présente ensuite les conteneurs Windows Server et leur mise en place. Les notions de PRA (Plan de reprise d'activité), de cluster à basculement ainsi que la fonctionnalité d'équilibrage de charge sont étudiées.
Enfin, les derniers chapitres traitent de l'administration de Windows Server avec WDS, WSUS et MDT.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02191-6,Version imprimée,978-2-409-02192-3,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=87e6cd59-c6f5-472d-a7ce-2fbf3854303b,Accès au travers du portail ENI,livre système,livre réseau,Hyper-V,hyper V,Core,nanoserver,AD,Active Directory ,NAS,DAS,SAN,conteneur,container,cluster,NLB,LNRI19WINIST,,,,,,,,,,,,,,,,,,
DPCRAF,Software Craftsmanship,L'art du code et de l'agilité technique en entreprise,Sallah Kokaina,,Édition du 13 novembre 2019,Kokaina,Sallah,,,,,,,,,,,282,fre,fre,FR,s,drcn#nnnmnnbn,,"Au cours de ces dernières décennies, les pratiques et outils de développement se sont nettement transformés pour permettre à l'entreprise de livrer mieux et plus rapidement ses applications. Avec ces nouvelles pratiques, l'art de coder prend toute son importance. Qu'est-ce qui fait qu'un développeur est mieux formé qu'un autre ? Qu'une équipe utilise une librairie de code mieux qu'une autre ? Qu'une entreprise réalise un logiciel mieux qu'une autre ? : le Software Craftsmanship. Rédigé comme le journal d'un aspirant à l'excellence technique, ce livre a pour objectif d'initier avec consistance les développeurs ou professionnels IT aux pratiques du Software Craftsmanship qui, au-delà d'un manifeste d'excellence technique est surtout un état d'esprit à adopter.
Agrémentée d'anecdotes, d'exercices, de convictions techniques et de restitutions diverses sur des principes clés du monde informatique, la lecture est rythmée par quatre parties qui stimulent le savoir-être, le savoir-faire, le savoir-structurer et le savoir-penser nécessaires pour une bonne conception logicielle. 
Au fil des pages, le lecteur intègre ainsi la posture d'un artisan du code et découvre les compétences nécessaires pour agir en professionnel du code. Il apprend à utiliser à bon escient les outils et technologies logicielles en mode Agile, étudie les principes de programmation clés pour créer des applications de qualité, comprend l'importance des tests dans la réalisation des projets, découvre les ingrédients permettant de créer une architecture robuste et maintenable ou encore les réflexes à avoir pour maintenir la vitalité technique dans un modèle de déploiement continu. ",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02153-4,Version imprimée,978-2-409-02154-1,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,DataPro,%SITE_CLIENT%/?library_guid=df764d76-c6a5-4d5e-99d3-9f69e5b812e0,Accès au travers du portail ENI,craftmanship,méthode,agile,agilité,manifeste,TDD,BDD,DDD,S.O.L.I.D,Craftsmanship Thinking,,,,,,,,,,,,,,,,,,,,,,,,
EPMONG,MongoDB,Comprendre et optimiser l'exploitation de vos données (avec exercices et corrigés),Sébastien Ferrandez,,Édition du 13 novembre 2019,Ferrandez,Sébastien,,,,,,,,,,,340,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur la base de données NoSQL MongoDB, qui s'est rapidement imposée comme une des alternatives les plus crédibles au modèle relationnel peu adapté aux enjeux du Big Data, est destiné aux développeurs qui souhaitent disposer d'une base de données capable de stocker et de traiter de manière très rapide de gros volumes de données. Il les aidera, à travers de nombreux exemples, à comprendre, concevoir et optimiser l'exploitation de leurs données avec MongoDB. Après une introduction qui présente MongoDB à travers ses composants, son architecture, la gestion des collections ou des documents, le lecteur apprend à écrire des requêtes pour extraire de manière efficace et optimisée ses données. Puis il étudie la notion d'indexation et les requêtes géospatiales avant d'utiliser le framework d'agrégation de MongoDB pour manipuler les données au travers de pipelines. Dans les chapitres qui suivent, l'auteur détaille les vues, les transactions, le stockage de fichiers volumineux avec GridFS ainsi que l'import, l'export et la restauration des données. Avec les deux derniers chapitres, le lecteur pourra vérifier l'assimilation des différentes notions étudiées tout au long du livre grâce à une série d'exercices corrigés.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-02151-0,Version imprimée,978-2-409-02152-7,Version numérique,St-Herblain,Editions ENI,2019,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=bcb7e498-008c-415f-a2e5-5f5c5316d9e4,Accès au travers du portail ENI,nosql,GridFS ,Big data,bigdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
